Time (s),Speed (km/h),Acceleration (m/s2),Partial distance (m)/ Speed(m/s),Total distance (m)
49,17.8,-0.16666666666666607,4.944444444444445,298.0833333333334
50,17.8,0.0,4.944444444444445,303.0277777777779
51,17.4,-0.1111111111111117,4.833333333333333,307.8611111111112
52,15.7,-0.472222222222222,4.361111111111111,312.2222222222223
53,13.1,-0.7222222222222221,3.638888888888889,315.8611111111112
54,12.1,-0.2777777777777778,3.3611111111111107,319.2222222222223
55,12.0,-0.02777777777777768,3.333333333333333,322.5555555555556
56,12.0,0.0,3.333333333333333,325.8888888888889
57,12.0,0.0,3.333333333333333,329.22222222222223
58,12.3,0.08333333333333352,3.416666666666667,332.6388888888889
59,12.6,0.08333333333333304,3.5,336.1388888888889
60,14.7,0.5833333333333333,4.083333333333333,340.22222222222223
61,15.3,0.16666666666666705,4.25,344.47222222222223
62,15.9,0.16666666666666657,4.416666666666667,348.8888888888889
63,16.2,0.08333333333333304,4.5,353.3888888888889
64,17.1,0.2500000000000006,4.75,358.1388888888889
65,17.8,0.19444444444444425,4.944444444444445,363.08333333333337
66,18.1,0.08333333333333352,5.027777777777778,368.11111111111114
67,18.4,0.08333333333333254,5.111111111111111,373.22222222222223
68,20.3,0.5277777777777783,5.638888888888889,378.86111111111114
69,23.2,0.8055555555555551,6.444444444444444,385.3055555555556
70,26.5,0.9166666666666669,7.361111111111111,392.6666666666667
71,29.8,0.9166666666666669,8.277777777777779,400.94444444444446
72,32.6,0.7777777777777779,9.055555555555555,410.0
73,34.4,0.4999999999999992,9.555555555555555,419.55555555555554
74,35.5,0.30555555555555597,9.86111111111111,429.41666666666663
75,36.4,0.2499999999999996,10.11111111111111,439.5277777777777
76,37.4,0.2777777777777778,10.388888888888888,449.91666666666663
77,38.5,0.30555555555555597,10.694444444444445,460.6111111111111
78,39.3,0.22222222222222143,10.916666666666666,471.52777777777777
79,39.5,0.055555555555556344,10.972222222222221,482.5
80,39.0,-0.1388888888888889,10.833333333333334,493.3333333333333
81,38.5,-0.1388888888888889,10.694444444444445,504.02777777777777
82,37.3,-0.3333333333333341,10.36111111111111,514.3888888888889
83,37.0,-0.08333333333333254,10.277777777777777,524.6666666666667
84,36.7,-0.08333333333333254,10.194444444444445,534.8611111111112
85,35.9,-0.2222222222222234,9.972222222222221,544.8333333333334
86,35.3,-0.16666666666666705,9.805555555555555,554.6388888888889
87,34.6,-0.19444444444444325,9.61111111111111,564.25
88,34.2,-0.11111111111111072,9.5,573.75
89,31.9,-0.6388888888888901,8.86111111111111,582.6111111111111
90,27.3,-1.2777777777777772,7.583333333333333,590.1944444444445
91,22.0,-1.4722222222222223,6.111111111111111,596.3055555555555
92,17.0,-1.3888888888888888,4.722222222222222,601.0277777777777
93,14.2,-0.7777777777777779,3.944444444444444,604.9722222222222
94,12.0,-0.6111111111111109,3.333333333333333,608.3055555555555
95,9.1,-0.8055555555555556,2.5277777777777777,610.8333333333334
96,5.8,-0.9166666666666666,1.611111111111111,612.4444444444445
97,3.6,-0.611111111111111,1.0,613.4444444444445
98,2.2,-0.38888888888888884,0.6111111111111112,614.0555555555555
99,0.0,-0.6111111111111112,0.0,614.0555555555555
100,0.0,0.0,0.0,614.0555555555555
101,0.0,0.0,0.0,614.0555555555555
102,0.0,0.0,0.0,614.0555555555555
103,0.0,0.0,0.0,614.0555555555555
104,0.0,0.0,0.0,614.0555555555555
105,0.0,0.0,0.0,614.0555555555555
106,0.0,0.0,0.0,614.0555555555555
107,0.0,0.0,0.0,614.0555555555555
108,0.0,0.0,0.0,614.0555555555555
109,0.0,0.0,0.0,614.0555555555555
110,0.0,0.0,0.0,614.0555555555555
111,0.0,0.0,0.0,614.0555555555555
112,0.0,0.0,0.0,614.0555555555555
113,0.0,0.0,0.0,614.0555555555555
114,0.0,0.0,0.0,614.0555555555555
115,0.0,0.0,0.0,614.0555555555555
116,0.0,0.0,0.0,614.0555555555555
117,0.0,0.0,0.0,614.0555555555555
118,0.0,0.0,0.0,614.0555555555555
119,0.0,0.0,0.0,614.0555555555555
120,0.0,0.0,0.0,614.0555555555555
121,0.0,0.0,0.0,614.0555555555555
122,0.0,0.0,0.0,614.0555555555555
123,0.0,0.0,0.0,614.0555555555555
124,0.0,0.0,0.0,614.0555555555555
125,0.0,0.0,0.0,614.0555555555555
126,0.0,0.0,0.0,614.0555555555555
127,0.0,0.0,0.0,614.0555555555555
128,0.0,0.0,0.0,614.0555555555555
129,0.0,0.0,0.0,614.0555555555555
130,0.0,0.0,0.0,614.0555555555555
131,0.0,0.0,0.0,614.0555555555555
132,0.0,0.0,0.0,614.0555555555555
133,0.0,0.0,0.0,614.0555555555555
134,0.0,0.0,0.0,614.0555555555555
135,0.0,0.0,0.0,614.0555555555555
136,0.0,0.0,0.0,614.0555555555555
137,0.0,0.0,0.0,614.0555555555555
138,0.2,0.05555555555555556,0.05555555555555556,614.1111111111111
139,1.9,0.4722222222222222,0.5277777777777778,614.6388888888889
140,6.1,1.1666666666666665,1.6944444444444442,616.3333333333334
141,11.7,1.5555555555555554,3.2499999999999996,619.5833333333334
142,16.4,1.3055555555555554,4.555555555555555,624.1388888888889
143,18.9,0.6944444444444444,5.249999999999999,629.3888888888889
144,19.9,0.2777777777777778,5.527777777777778,634.9166666666667
145,20.8,0.2500000000000006,5.777777777777778,640.6944444444446
146,22.8,0.5555555555555556,6.333333333333333,647.0277777777779
147,25.4,0.7222222222222217,7.055555555555555,654.0833333333335
148,27.7,0.6388888888888891,7.694444444444444,661.7777777777779
149,29.2,0.41666666666666663,8.11111111111111,669.888888888889
150,29.8,0.16666666666666705,8.277777777777779,678.1666666666669
151,29.4,-0.1111111111111117,8.166666666666666,686.3333333333335
152,27.2,-0.6111111111111109,7.555555555555555,693.888888888889
153,22.6,-1.2777777777777772,6.277777777777778,700.1666666666669
154,17.3,-1.4722222222222223,4.805555555555555,704.9722222222224
155,13.3,-1.1111111111111112,3.6944444444444446,708.6666666666669
156,12.0,-0.3611111111111113,3.333333333333333,712.0000000000002
157,12.6,0.16666666666666657,3.5,715.5000000000002
158,14.1,0.41666666666666663,3.9166666666666665,719.4166666666669
159,17.2,0.8611111111111109,4.777777777777778,724.1944444444447
160,20.1,0.8055555555555561,5.583333333333334,729.777777777778
161,23.4,0.9166666666666659,6.499999999999999,736.277777777778
162,25.5,0.5833333333333337,7.083333333333333,743.3611111111114
163,27.6,0.5833333333333337,7.666666666666667,751.027777777778
164,29.5,0.5277777777777773,8.194444444444445,759.2222222222225
165,31.1,0.4444444444444448,8.63888888888889,767.8611111111114
166,32.1,0.2777777777777778,8.916666666666666,776.777777777778
167,33.2,0.30555555555555597,9.222222222222223,786.0000000000002
168,35.2,0.5555555555555556,9.777777777777779,795.777777777778
169,37.2,0.5555555555555556,10.333333333333334,806.1111111111114
170,38.0,0.22222222222222143,10.555555555555555,816.666666666667
171,37.4,-0.16666666666666705,10.388888888888888,827.0555555555559
172,35.1,-0.6388888888888881,9.75,836.8055555555559
173,31.0,-1.1388888888888893,8.61111111111111,845.416666666667
174,27.1,-1.0833333333333328,7.527777777777778,852.9444444444448
175,25.3,-0.5000000000000002,7.027777777777778,859.9722222222226
176,25.1,-0.05555555555555536,6.972222222222222,866.9444444444448
177,25.9,0.22222222222222143,7.194444444444444,874.1388888888893
178,27.8,0.5277777777777783,7.722222222222222,881.8611111111114
179,29.2,0.3888888888888885,8.11111111111111,889.9722222222225
180,29.6,0.1111111111111117,8.222222222222223,898.1944444444447
181,29.5,-0.027777777777778172,8.194444444444445,906.3888888888891
182,29.2,-0.08333333333333352,8.11111111111111,914.5000000000002
183,28.3,-0.2499999999999996,7.861111111111111,922.3611111111113
184,26.1,-0.6111111111111109,7.25,929.6111111111113
185,23.6,-0.6944444444444444,6.555555555555555,936.1666666666669
186,21.0,-0.7222222222222227,5.833333333333333,942.0000000000002
187,18.9,-0.5833333333333337,5.249999999999999,947.2500000000002
188,17.1,-0.4999999999999992,4.75,952.0000000000002
189,15.7,-0.38888888888888945,4.361111111111111,956.3611111111113
190,14.5,-0.33333333333333315,4.027777777777778,960.3888888888891
191,13.7,-0.2222222222222224,3.8055555555555554,964.1944444444447
192,12.9,-0.22222222222222193,3.5833333333333335,967.777777777778
193,12.5,-0.1111111111111112,3.4722222222222223,971.2500000000002
194,12.2,-0.08333333333333352,3.3888888888888884,974.6388888888891
195,12.0,-0.05555555555555536,3.333333333333333,977.9722222222225
196,12.0,0.0,3.333333333333333,981.3055555555559
197,12.0,0.0,3.333333333333333,984.6388888888893
198,12.0,0.0,3.333333333333333,987.9722222222226
199,12.5,0.1388888888888889,3.4722222222222223,991.4444444444448
200,13.0,0.1388888888888889,3.611111111111111,995.0555555555559
201,14.0,0.2777777777777778,3.888888888888889,998.9444444444448
202,15.0,0.2777777777777778,4.166666666666667,1003.1111111111114
203,16.5,0.41666666666666663,4.583333333333333,1007.6944444444448
204,19.0,0.6944444444444444,5.277777777777778,1012.9722222222226
205,21.2,0.6111111111111109,5.888888888888888,1018.8611111111115
206,23.8,0.7222222222222227,6.611111111111111,1025.4722222222226
207,26.9,0.8611111111111105,7.472222222222221,1032.9444444444448
208,29.6,0.7500000000000008,8.222222222222223,1041.166666666667
209,32.0,0.6666666666666663,8.88888888888889,1050.0555555555559
210,35.2,0.8888888888888896,9.777777777777779,1059.8333333333337
211,37.5,0.6388888888888881,10.416666666666666,1070.2500000000005
212,39.2,0.472222222222223,10.88888888888889,1081.1388888888894
213,40.5,0.36111111111111033,11.25,1092.3888888888894
